webName,ID,elementID,firstName,secondName,fullName,cleanName
Depoitre,210,4,Laurent,Depoitre,Laurent Depoitre,Laurent Depoitre
Mounie,211,4,Steve,Mounie,Steve Mounie,Steve Mounie
Kachunga,212,4,Elias,Kachunga,Elias Kachunga,Elias Kachunga
Durm,461,2,Erik,Durm,Erik Durm,Erik Durm
Diakhaby,471,3,Adama,Diakhaby,Adama Diakhaby,Adama Diakhaby
Mbenza,514,3,Isaac,Mbenza,Isaac Mbenza,Isaac Mbenza
Stankovic,522,2,Jon Gorenc,Stankovic,Jon Gorenc Stankovic,Jon Gorenc Stankovic
Schofield,533,1,Ryan,Schofield,Ryan Schofield,Ryan Schofield
Grant,585,4,Karlan,Grant,Karlan Grant,Karlan Grant
Coleman,598,1,Joel,Coleman,Joel Coleman,Joel Coleman
Duhaney,601,2,Demeaco,Duhaney,Demeaco Duhaney,Demeaco Duhaney
Daly,606,3,Matthew,Daly,Matthew Daly,Matthew Daly
Rowe,607,3,Aaron,Rowe,Aaron Rowe,Aaron Rowe
Schmeichel,213,1,Kasper,Schmeichel,Kasper Schmeichel,Kasper Schmeichel
Jakupovic,214,1,Eldin,Jakupovic,Eldin Jakupovic,Eldin Jakupovic
Morgan,215,2,Wes,Morgan,Wes Morgan,Wes Morgan
Fuchs,216,2,Christian,Fuchs,Christian Fuchs,Christian Fuchs
Simpson,217,2,Danny,Simpson,Danny Simpson,Danny Simpson
Benalouane,218,2,Yohan,Benalouane,Yohan Benalouane,Yohan Benalouane
Chilwell,219,2,Benjamin,Chilwell,Benjamin Chilwell,Benjamin Chilwell
Maguire,220,2,Harry,Maguire,Harry Maguire,Harry Maguire
Pereira,221,2,Ricardo Domingos,Barbosa Pereira,Ricardo Domingos Barbosa Pereira,Ricardo Domingos Barbosa Pereira
Evans,222,2,Jonny,Evans,Jonny Evans,Jonny Evans
Albrighton,224,3,Marc,Albrighton,Marc Albrighton,Marc Albrighton
Gray,225,3,Demarai,Gray,Demarai Gray,Demarai Gray
Amartey,226,3,Daniel,Amartey,Daniel Amartey,Daniel Amartey
Ndidi,227,3,Wilfred,Ndidi,Wilfred Ndidi,Wilfred Ndidi
Iborra,228,3,Vicente,Iborra,Vicente Iborra,Vicente Iborra
James,229,3,Matty,James,Matty James,Matty James
Choudhury,230,3,Hamza,Choudhury,Hamza Choudhury,Hamza Choudhury
Silva,231,3,Adrien Sebastian,Perruchet Silva,Adrien Sebastian Perruchet Silva,Adrien Sebastian Perruchet Silva
Diabaté,232,3,Fousseni,Diabaté,Fousseni Diabaté,Fousseni Diabate
Maddison,233,3,James,Maddison,James Maddison,James Maddison
Vardy,234,4,Jamie,Vardy,Jamie Vardy,Jamie Vardy
Okazaki,235,4,Shinji,Okazaki,Shinji Okazaki,Shinji Okazaki
Iheanacho,236,4,Kelechi,Iheanacho,Kelechi Iheanacho,Kelechi Iheanacho
Ward,457,1,Danny,Ward,Danny Ward,Danny Ward
Ghezzal,492,3,Rachid,Ghezzal,Rachid Ghezzal,Rachid Ghezzal
Benkovic,501,2,Filip,Benkovic,Filip Benkovic,Filip Benkovic
Söyüncü,515,2,Çaglar,Söyüncü,Çaglar Söyüncü,Caglar Soyuncu
Mendy,527,3,Nampalys,Mendy,Nampalys Mendy,Nampalys Mendy
Knight,558,2,Josh,Knight,Josh Knight,Josh Knight
Barnes,571,3,Harvey,Barnes,Harvey Barnes,Harvey Barnes
Tielemans,591,3,Youri,Tielemans,Youri Tielemans,Youri Tielemans
Mignolet,237,1,Simon,Mignolet,Simon Mignolet,Simon Mignolet
Karius,238,1,Loris,Karius,Loris Karius,Loris Karius
Lovren,239,2,Dejan,Lovren,Dejan Lovren,Dejan Lovren
Moreno,240,2,Alberto,Moreno,Alberto Moreno,Alberto Moreno
Gomez,242,2,Joseph,Gomez,Joseph Gomez,Joseph Gomez
Matip,243,2,Joel,Matip,Joel Matip,Joel Matip
Klavan,244,2,Ragnar,Klavan,Ragnar Klavan,Ragnar Klavan
Alexander-Arnold,245,2,Trent,Alexander-Arnold,Trent Alexander-Arnold,Trent AlexanderArnold
van Dijk,246,2,Virgil,van Dijk,Virgil van Dijk,Virgil van Dijk
