,Unnamed: 0,Unnamed: 0.1,webName,ID,elementID,firstName,secondName,fullName,cleanName,score_1,score_2,score_3
170,170,170,Hennessey,132,1,Wayne,Hennessey,Wayne Hennessey,Wayne Hennessey,0.0,0.0,2.15
171,171,171,Zaha,133,3,Wilfried,Zaha,Wilfried Zaha,Wilfried Zaha,3.34,0.0,19.769999999999996
172,172,172,Milivojevic,134,3,Luka,Milivojevic,Luka Milivojevic,Luka Milivojevic,0.71,0.0,1.78
173,173,173,Townsend,135,3,Andros,Townsend,Andros Townsend,Andros Townsend,0.0,0.0,4.9
174,174,174,Meyer,136,3,Max,Meyer,Max Meyer,Max Meyer,0.0,0.0,0.61
175,175,175,Schlupp,137,3,Jeffrey,Schlupp,Jeffrey Schlupp,Jeffrey Schlupp,0.0,0.0,2.37
176,176,176,McArthur,138,3,James,McArthur,James McArthur,James McArthur,0.0,0.0,0.0
177,177,177,Kouyaté,139,3,Cheikhou,Kouyaté,Cheikhou Kouyaté,Cheikhou Kouyate,0.0,0.0,0.0
178,178,178,Dreher,140,3,Luke,Dreher,Luke Dreher,Luke Dreher,0.0,0.0,0.0
179,179,179,McCarthy,157,3,James,McCarthy,James McCarthy,James McCarthy,1.52,0.0,3.87
180,180,180,Ayew,468,4,Jordan,Ayew,Jordan Ayew,Jordan Ayew,0.0,0.0,3.87
181,181,181,Cahill,503,2,Gary,Cahill,Gary Cahill,Gary Cahill,0.0,0.77,4.8100000000000005
182,182,182,Camarasa,510,3,Víctor,Camarasa,Víctor Camarasa,Victor Camarasa,0.0,0.0,0.0
183,183,183,Iwobi,17,3,Alex,Iwobi,Alex Iwobi,Alex Iwobi,0.0,0.0,3.92
184,184,184,Digne,141,2,Lucas,Digne,Lucas Digne,Lucas Digne,3.55,3.51,43.49999999999999
185,185,185,Mina,142,2,Yerry,Mina,Yerry Mina,Yerry Mina,0.0,0.0,17.74
186,186,186,Keane,143,2,Michael,Keane,Michael Keane,Michael Keane,1.78,0.0,6.659999999999999
187,187,187,Coleman,144,2,Seamus,Coleman,Seamus Coleman,Seamus Coleman,0.0,0.0,10.76
188,188,188,Baines,145,2,Leighton,Baines,Leighton Baines,Leighton Baines,0.0,0.0,4.95
189,189,189,Tosun,146,4,Cenk,Tosun,Cenk Tosun,Cenk Tosun,0.0,0.0,1.56
190,190,190,Calvert-Lewin,147,4,Dominic,Calvert-Lewin,Dominic Calvert-Lewin,Dominic CalvertLewin,1.74,0.0,3.9200000000000004
191,191,191,Pickford,148,1,Jordan,Pickford,Jordan Pickford,Jordan Pickford,1.74,0.0,17.519999999999996
192,192,192,Stekelenburg,149,1,Maarten,Stekelenburg,Maarten Stekelenburg,Maarten Stekelenburg,0.0,0.0,0.0
193,193,193,Richarlison,150,3,Richarlison,de Andrade,Richarlison de Andrade,Richarlison de Andrade,0.0,0.77,16.979999999999997
194,194,194,Sigurdsson,151,3,Gylfi,Sigurdsson,Gylfi Sigurdsson,Gylfi Sigurdsson,4.59,0.0,7.2700000000000005
195,195,195,Bernard,152,3,Bernard,Anício Caldeira Duarte,Bernard Anício Caldeira Duarte,Bernard Anicio Caldeira Duarte,0.0,0.0,0.0
196,196,196,Walcott,153,3,Theo,Walcott,Theo Walcott,Theo Walcott,0.0,1.76,5.210000000000001
197,197,197,Davies,154,3,Tom,Davies,Tom Davies,Tom Davies,0.78,0.0,0.77
198,198,198,Lookman,155,3,Ademola,Lookman,Ademola Lookman,Ademola Lookman,0.0,0.0,-1.0
199,199,199,Gueye,156,3,Idrissa,Gueye,Idrissa Gueye,Idrissa Gueye,0.0,0.0,-1.0
200,200,200,Schneiderlin,158,3,Morgan,Schneiderlin,Morgan Schneiderlin,Morgan Schneiderlin,0.0,0.0,0.69
201,201,201,Delph,205,2,Fabian,Delph,Fabian Delph,Fabian Delph,1.66,0.0,0.3500000000000001
202,202,202,André Gomes,422,3,André Filipe,Tavares Gomes,André Filipe Tavares Gomes,Andre Filipe Tavares Gomes,0.0,0.0,1.73
203,203,203,Gibson,477,2,Lewis,Gibson,Lewis Gibson,Lewis Gibson,0.0,0.0,0.0
204,204,204,Holgate,478,2,Mason,Holgate,Mason Holgate,Mason Holgate,0.0,0.0,0.0
205,205,205,Lössl,479,1,Jonas,Lössl,Jonas Lössl,Jonas Lossl,0.0,0.0,1.17
206,206,206,Kean,496,4,Moise,Kean,Moise Kean,Moise Kean,0.77,0.0,2.05
207,207,207,Gbamin,497,3,Jean-Philippe,Gbamin,Jean-Philippe Gbamin,JeanPhilippe Gbamin,0.6,0.0,0.73
208,208,208,Sidibé,511,2,Djibril,Sidibé,Djibril Sidibé,Djibril Sidibe,0.0,0.0,0.0
209,209,209,Pereira,159,2,Ricardo Domingos,Barbosa Pereira,Ricardo Domingos Barbosa Pereira,Ricardo Domingos Barbosa Pereira,0.47,0.0,6.390000000000001
210,210,210,Chilwell,161,2,Benjamin,Chilwell,Benjamin Chilwell,Benjamin Chilwell,0.0,0.0,-0.43999999999999995
211,211,211,Evans,162,2,Jonny,Evans,Jonny Evans,Jonny Evans,0.0,0.0,1.78
212,212,212,Fuchs,163,2,Christian,Fuchs,Christian Fuchs,Christian Fuchs,0.0,0.0,1.65
213,213,213,Söyüncü,164,2,Çaglar,Söyüncü,Çaglar Söyüncü,Caglar Soyuncu,1.52,0.0,1.42
214,214,214,Morgan,165,2,Wes,Morgan,Wes Morgan,Wes Morgan,0.62,0.0,0.0
215,215,215,Vardy,166,4,Jamie,Vardy,Jamie Vardy,Jamie Vardy,0.62,0.0,15.299999999999999
216,216,216,Iheanacho,167,4,Kelechi,Iheanacho,Kelechi Iheanacho,Kelechi Iheanacho,0.0,0.0,0.73
217,217,217,Schmeichel,168,1,Kasper,Schmeichel,Kasper Schmeichel,Kasper Schmeichel,0.0,0.0,0.0
218,218,218,Jakupovic,169,1,Eldin,Jakupovic,Eldin Jakupovic,Eldin Jakupovic,0.0,0.0,0.0
219,219,219,Ward,170,1,Danny,Ward,Danny Ward,Danny Ward,0.0,0.0,0.0
220,220,220,Maddison,171,3,James,Maddison,James Maddison,James Maddison,0.0,0.0,4.65
221,221,221,Barnes,172,3,Harvey,Barnes,Harvey Barnes,Harvey Barnes,0.0,0.0,0.0
222,222,222,Ghezzal,173,3,Rachid,Ghezzal,Rachid Ghezzal,Rachid Ghezzal,0.0,0.0,0.0
223,223,223,Albrighton,174,3,Marc,Albrighton,Marc Albrighton,Marc Albrighton,0.0,0.0,1.53
224,224,224,Gray,175,3,Demarai,Gray,Demarai Gray,Demarai Gray,0.0,-0.31999999999999995,1.7999999999999998
225,225,225,Ndidi,176,3,Wilfred,Ndidi,Wilfred Ndidi,Wilfred Ndidi,0.54,0.0,1.3399999999999999
226,226,226,James,177,3,Matty,James,Matty James,Matty James,0.0,0.0,-1.0
227,227,227,Amartey,178,3,Daniel,Amartey,Daniel Amartey,Daniel Amartey,0.0,0.0,0.0
228,228,228,Mendy,179,3,Nampalys,Mendy,Nampalys Mendy,Nampalys Mendy,4.02,0.0,23.120000000000008
229,229,229,Choudhury,180,3,Hamza,Choudhury,Hamza Choudhury,Hamza Choudhury,0.47,0.0,0.74
230,230,230,Pérez,265,3,Ayoze,Pérez,Ayoze Pérez,Ayoze Perez,0.0,0.0,8.89
231,231,231,Justin,433,2,James,Justin,James Justin,James Justin,0.0,0.0,0.0
232,232,232,Tielemans,448,3,Youri,Tielemans,Youri Tielemans,Youri Tielemans,0.0,0.0,5.01
233,233,233,King,480,3,Andy,King,Andy King,Andy King,0.0,0.0,-0.43000000000000005
234,234,234,Praet,517,3,Dennis,Praet,Dennis Praet,Dennis Praet,0.0,0.0,0.0
235,235,235,Robertson,181,2,Andrew,Robertson,Andrew Robertson,Andrew Robertson,10.16,0.0,39.52
