Player,Round,Opponent,Opponent_FDR,isHome,Points,minutes,Opponent_PrevWeek,Opponent_FDR_PrevWeek,isHome_PrevWeek,Points_PrevWeek,Opponent_2PrevWeek,Opponent_FDR_2PrevWeek,isHome_2PrevWeek,Points_2PrevWeek,isCaptain,ICT_index,Threat,Influence,Transfers_Balance,Value,BPS,DefenseOdds,OffenceOdds
Benteke,1,4,9,2,0,2,82,0,0,0,0,0,0,0,0,0,8.6,48.0,13.6,0,65,9,24.41,62.42
Eriksen,1,3,15,3,0,2,90,0,0,0,0,0,0,0,0,0,10.4,12.0,19.2,0,95,15,17.33,43.28
Fuchs,1,2,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,0,88.02,50.76
Kabasele,1,2,3,1,1,6,90,0,0,0,0,0,0,0,0,0,3.0,22.0,8.0,0,45,17,48.48,27.68
Schindler,1,2,6,4,1,0,90,0,0,0,0,0,0,0,0,0,2.0,0.0,20.2,0,45,6,47.62,86.22
Löwe,1,2,6,4,1,1,70,0,0,0,0,0,0,0,0,0,2.3,0.0,7.6,0,45,9,47.62,86.22
Smalling,1,2,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,60,0,22.46,10.04
Wood,1,4,16,2,0,2,72,0,0,0,0,0,0,0,0,0,6.1,52.0,5.8,0,65,2,77.16,49.26
Clark,1,2,17,4,1,1,90,0,0,0,0,0,0,0,0,0,4.5,26.0,18.4,0,45,9,72.81,34.74
Bravo,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,50,0,6.26,41.49
Quaner,1,4,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,0,47.62,86.22
Wickham,1,4,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,50,0,24.41,62.42
Coady,1,2,8,2,1,1,90,0,0,0,0,0,0,0,0,0,1.5,0.0,14.6,0,45,14,50.11,24.08
