,player_id_x,name,plural_name_short,assists_x,attempted_passes_x,big_chances_created_x,big_chances_missed_x,bps_x,clean_sheets_x,clearances_blocks_interceptions_x,completed_passes_x,creativity_x,dribbles_x,ea_index_x,errors_leading_to_goal_x,errors_leading_to_goal_attempt_x,goals_conceded_x,goals_scored_x,ict_index_x,influence_x,key_passes_x,loaned_in_x,loaned_out_x,minutes_x,open_play_crosses_x,opponent_team_x,own_goals_x,penalties_conceded_x,penalties_missed_x,penalties_saved_x,saves_x,tackles_x,target_missed_x,threat_x,winning_goals_x,value_x,difficulty,total_points_y
52,5.0,Nacho Monreal,DEF,0.0,42.0,0.0,0.0,27.0,0.0,2.0,38.0,2.9,0.0,0.0,0.0,0.0,1.0,1.0,11.4,43.4,0.0,0.0,0.0,90.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,68.0,0.0,55.0,4,0.0
53,6.0,Rob Holding,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,4,0.0
54,7.0,Shkodran Mustafi,DEF,0.0,52.0,0.0,0.0,20.0,0.0,15.0,47.0,0.8,0.0,0.0,0.0,0.0,1.0,0.0,5.9,37.2,0.0,0.0,0.0,90.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,21.0,0.0,55.0,4,8.0
55,8.0,Sead Kolasinac,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,4,0.0
56,10.0,Konstantinos Mavropanos,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,4,0.0
57,11.0,Stephan Lichtsteiner,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,4,0.0
58,12.0,Sokratis Papastathopoulos,DEF,0.0,44.0,0.0,0.0,10.0,0.0,7.0,37.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,1.8,17.8,0.0,0.0,0.0,90.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,4,1.0
59,13.0,Mesut Özil,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,4,2.0
60,14.0,Aaron Ramsey,MID,0.0,59.0,0.0,0.0,15.0,0.0,1.0,47.0,31.8,3.0,0.0,0.0,0.0,1.0,0.0,8.8,17.0,2.0,0.0,0.0,90.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,39.0,0.0,74.0,4,2.0
61,15.0,Alex Iwobi,MID,1.0,12.0,1.0,0.0,16.0,0.0,0.0,10.0,12.7,1.0,0.0,0.0,0.0,1.0,0.0,3.4,19.0,1.0,0.0,0.0,45.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,55.0,4,0.0
62,16.0,Mohamed Elneny,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,4,0.0
63,17.0,Granit Xhaka,MID,0.0,82.0,0.0,0.0,11.0,0.0,0.0,72.0,18.9,1.0,0.0,0.0,0.0,1.0,0.0,4.4,17.6,1.0,0.0,0.0,90.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,54.0,4,4.0
