id,web_name,team_code,element_type,status,now_cost,chance_of_playing_next_round,value_season,minutes,bps,ict_index,form,transfers_in_event,transfers_out_event,total_points,ep_next,event_points,goals_scored,assists,clean_sheets,goals_conceded,threat
387,Chalobah,57,3,a,44,100,1.4,191,23,7.2,0.0,0,0,6,0.0,0,0,0,0,4,31.0
388,Cleverley,57,3,a,50,100,3.2,229,51,11.8,3.3,5,1,16,3.3,0,1,0,2,0,35.0
389,Capoue,57,3,a,48,100,11.3,1799,309,63.4,1.5,8,6,54,1.5,0,1,2,5,27,96.0
391,Pereyra,57,3,a,62,,16.9,2079,343,125.3,1.5,205,378,105,1.5,0,6,4,5,34,556.0
392,Hughes,57,3,a,49,100,8.8,1315,142,63.6,0.8,1,2,43,0.8,0,1,1,4,21,215.0
394,Deulofeu,57,3,a,55,100,10.9,1146,159,86.8,1.8,44,103,60,1.8,0,3,3,5,14,347.0
446,Sema,57,3,a,46,,6.3,522,80,31.6,0.3,2,12,29,0.3,0,1,2,2,8,132.0
517,Quina,57,3,a,44,,3.2,294,57,12.0,0.0,1,2,14,0.0,0,1,0,0,4,20.0
410,Masuaku,21,3,a,43,100,7.7,1250,214,45.0,0.5,27,31,33,1.0,0,0,1,2,24,35.0
411,Noble,21,3,a,48,100,8.1,1344,196,45.9,1.8,5,5,39,2.3,0,0,3,4,19,68.0
413,Obiang,21,3,a,43,100,6.5,802,121,28.5,0.5,6,15,28,1.0,0,0,1,1,15,99.0
415,Antonio,21,3,a,68,100,8.8,1252,158,93.6,1.8,2,7,60,2.3,0,2,4,4,21,470.0
465,Felipe Anderson,21,3,a,71,,15.8,2040,433,185.1,1.8,278,779,112,2.3,0,8,3,5,34,537.0
489,Snodgrass,21,3,a,50,100,11.4,1392,242,110.0,0.8,9,65,57,1.3,0,2,3,3,22,219.0
539,Diangana,21,3,a,45,,4.2,468,65,39.5,0.3,0,1,19,0.8,0,0,1,1,12,140.0
547,Powell,21,3,a,45,,0.0,0,0,0.0,0.0,0,0,0,0.5,0,0,0,0,0,0.0
548,Coventry,21,3,a,45,,0.0,0,0,0.0,0.0,0,0,0,0.5,0,0,0,0,0,0.0
432,Jota,39,3,a,60,100,12.3,1266,218,98.3,6.5,567,64,74,6.5,0,5,4,5,17,434.0
433,Neves,39,3,a,49,100,12.9,1907,303,101.4,2.5,164,95,63,2.5,0,2,2,6,29,287.0
434,Cavaleiro,39,3,a,52,100,7.7,503,145,58.0,0.3,1,0,40,0.3,0,3,1,1,8,145.0
435,Costa,39,3,a,47,100,10.0,1266,128,69.6,0.0,8,20,47,0.0,0,1,2,5,17,272.0
448,Gibbs-White,39,3,a,43,,5.8,449,73,19.3,0.8,6,23,25,0.8,0,0,1,2,9,44.0
475,Moutinho,39,3,a,52,,15.8,1867,388,121.6,5.8,828,55,82,5.8,0,1,6,6,25,46.0
500,Traoré,39,3,a,51,75,5.5,661,112,55.0,0.3,1,8,28,0.2,0,1,0,0,9,208.0
519,Dendoncker,39,3,a,43,100,2.3,346,39,12.9,1.8,9,6,10,1.8,0,0,0,1,7,21.0
555,Giles,39,3,a,45,,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
